브랜드마켓,브랜드,제조사,마켓,유형,URL,패턴변수,확인,비고
bosch_na,Bosch,Clarios,북미,pdf,https://www.boschautoparts.com/documents/647135/656945/Passenger%20Car%2C%20Light%20Truck%20%26%20Heavy%20Duty%20Batteries%20Catalog.pdf,,검색확인,2025 승용·경트럭·대형 배터리 카탈로그
bosch_na,Bosch,Clarios,북미,pdf,https://www.boschautoparts.com/documents/647135/656945/Battery%20Trade%20Brochure.pdf,,검색확인,트레이드 브로슈어
bosch_na,Bosch,Clarios,북미,productlist,https://www.boschautoparts.com/g/batteries,,검색확인,배터리 카테고리 목록
bosch_na,Bosch,Clarios,북미,productlist,https://www.boschautoparts.com/p/s4-batteries,,검색확인,S4 제품 상세
bosch_in,Bosch,Clarios,인도,pdf,https://www.boschaftermarket.com/xrm/media/images/country_specific/in/services_and_support_1/downloads_10/pdf_5/battery_catalogue_2023.pdf,,검색확인,인도 배터리 카탈로그 2023
bosch_in,Bosch,Clarios,인도,pdf,https://www.boschaftermarket.com/xrm/media/images/country_specific/in/parts_11/pdf_8/bosch-automotive-batteries-india-catalogue.pdf,,검색확인,인도 카탈로그 (다른 경로)
bosch_in,Bosch,Clarios,인도,productlist,https://ap.boschaftermarket.com/in/en/parts/batteries/,,검색확인,인도 배터리 제품 페이지
bosch_eu,Bosch,Clarios,유럽,pdf,https://www.boschaftermarket.com/xrm/media/images/country_specific/gb/parts_1/parts_pdfs/batteries_s3s4s5_2pp_2017.pdf,,검색확인,영국 S3·S4·S5 개요
bosch_eu,Bosch,Clarios,유럽,pattern,https://www.boschaftermarket.com/{cc}/{lang}/parts/batteries/,cc=de|gb|fr|es|it|pl|tr|nl|se; lang=en,패턴추정,국가별 배터리 페이지 — 국가코드를 바꿔가며 확인
bosch_eu,Bosch,Clarios,유럽,pattern,https://www.boschaftermarket.com/xrm/media/images/country_specific/{cc}/,cc=de|gb|fr|es|it|pl|tr|in|au|za,패턴추정,국가별 PDF 저장 경로 — 하위를 훑어서 카탈로그 PDF 를 찾는다
bosch_lat,Bosch,Clarios,중남미,productlist,https://br.boschaftermarket.com/br/pt/pecas/baterias/,,패턴추정,브라질 포털
bosch_cn,Bosch,Clarios,중국,productlist,https://www.bosch-mobility-aftermarket.cn,,패턴추정,중국 포털
bosch_oce,Bosch,Clarios,오세아니아,productlist,https://au.boschaftermarket.com/au/en/parts/batteries/,,패턴추정,호주 포털
bosch_mea,Bosch,Clarios,중동·아프리카,productlist,https://za.boschaftermarket.com/za/en/parts/batteries/,,패턴추정,남아공 포털
bosch_eu,Bosch,Clarios,유럽,pdf,https://www.boschoffhighway.com/xc/media/ledi/products/battery/1168_batterie_efb_truck_8s_en_rz_x3.pdf,,검색확인,상용차 EFB 브로슈어
varta_eu,VARTA,Clarios,유럽,productlist,https://www.varta-automotive.com/en-gb/products,,패턴추정,제품 목록 — 국가 선택 후 경로 확인 필요
varta_eu,VARTA,Clarios,유럽,fitment,https://www.varta-automotive.com/en-gb/battery-finder,,패턴추정,차량 피트먼트 검색
varta_eu,VARTA,Clarios,유럽,productlist,https://batteryworld.varta-automotive.com,,패턴추정,기술자료·백서
exide_eu,Exide,Exide Technologies,유럽,productlist,https://www.exidegroup.com/eu/en/downloads-documents,,검색확인,공식 다운로드 센터 — 여기서 PDF 링크를 훑는다
exide_eu,Exide,Exide Technologies,유럽,pdf,https://exide.sk/asset/uploads/na%20stiahnutie/NEW_Exide_Edition5_TechnicalGuid.pdf,,검색확인,Technical Guide Edition 5 (판 표기 있음)
exide_in,Exide,Exide Industries,인도,pdf,https://docs.exideindustries.com/pdf/industrial-export-batteries/products/ups-batteries/12v-agm-vrla-ep-series.pdf,,검색확인,EP 시리즈 (SLI 아님 — 문서 경로 패턴 참고용)
exide_in,Exide,Exide Industries,인도,pattern,https://docs.exideindustries.com/pdf/,,패턴추정,문서 루트 — 하위 경로를 훑어 SLI 카탈로그를 찾는다
yuasa_eu,Yuasa,GS Yuasa,유럽,productlist,https://www.yuasa.co.uk/automotive/,,패턴추정,YBX 레인지
yuasa_eu,Yuasa,GS Yuasa,유럽,fitment,https://www.yuasa.co.uk/battery-lookup/,,패턴추정,차량 검색
gsyuasa_jp,GS Yuasa,GS Yuasa,일본,productlist,https://gyb.gs-yuasa.com/products/,,패턴추정,일본 제품 페이지
gsyuasa_jp,GS Yuasa,GS Yuasa,일본,fitment,https://gyb.gs-yuasa.com/search/,,패턴추정,적합표 검색
yuasa_oce,Yuasa,Century Yuasa,오세아니아,pdf,https://www.yuasabatteries.co.nz/media/qnrj5dgs/yuasa-au-cross-reference-chart-nov19.pdf,,검색확인,호주·뉴질랜드 크로스레퍼런스 (2019.11)
