유통사키,유통사,국가,지역,사이트,제품목록URL,브랜드페이지패턴,취급 브랜드,확인,비고
tayna,Tayna Batteries,영국,EU,https://www.tayna.co.uk,https://www.tayna.co.uk/car-batteries/,https://www.tayna.co.uk/car-batteries/{brand}/,Varta|Bosch|Yuasa|Exide|Numax|Lucas|Powerline|Odyssey|MK|Sonnenschein|Westco,검색확인,브랜드별 목록 URL 이 규칙적이라 통째로 긁기 좋다
lion_au,Lion Batteries,호주,OCE,https://www.lionbatteries.com.au,https://www.lionbatteries.com.au/product-category/,,Lion|FIAMM|Hoppecke,검색확인,자체 브랜드 + 유럽 브랜드 유통
cyb_au,Century Yuasa Batteries,호주,OCE,https://www.cyb.com.au,https://www.cyb.com.au/divisions/automotive,,Century|GS Yuasa|Besco|Maxx Yuasa|Katana|Enersun|Intelepower|Optima,검색확인,호주 최대 유통 — 한 곳에서 8개 브랜드
yuasa_au,Yuasa Batteries Australia,호주,OCE,https://www.yuasabatteries.com.au,https://www.yuasabatteries.com.au/products,,Yuasa,검색확인,Century Yuasa 계열
stahlgruber,LKQ STAHLGRUBER,독일,EU,https://www.stahlgruber.de,https://kunden.stahlgruber.de/Kataloge/elektrik/index.php?sb=11875,,다브랜드(PKW 배터리 카탈로그),검색확인,LKQ DACH 소속 — 온라인 카탈로그 직링크
lkq_eu,LKQ Europe,유럽,EU,https://lkqeurope.com,https://lkqeurope.com/businesses/dach,,다브랜드,검색확인,STAHLGRUBER·PV AUTOMOTIVE·NEIMCKE·RHIAG 보유
aldobowi,Al Dobowi Group,UAE,MEA,https://aldobowi.ae,https://aldobowi.ae/our-presence/middle-east/,,타이어·배터리 다브랜드,검색확인,UAE 7개 에미리트 + 동아프리카·CIS·아프가니스탄
amap,Al Muqarram Auto Spare Parts (A-MAP),UAE,MEA,,,,한국계 배터리,검색확인,중동·아프리카 재수출 허브
napa,NAPA (Genuine Parts),미국,NA,https://www.napaonline.com,https://www.napaonline.com/en/c/batteries,,NAPA Legend|다브랜드,미확인,북미 최대 부품 유통
interstate,Interstate Batteries,미국,NA,https://www.interstatebatteries.com,https://www.interstatebatteries.com/products/car-batteries,,Interstate,미확인,자체 브랜드 + 위탁생산
oreilly,O'Reilly Auto Parts,미국,NA,https://www.oreillyauto.com,https://www.oreillyauto.com/shop/b/batteries---starting---charging,,Super Start|다브랜드,미확인,
autozone,AutoZone,미국,NA,https://www.autozone.com,https://www.autozone.com/batteries-starting-and-charging/battery,,Duralast|Optima|Odyssey,미확인,PB Duralast
advance,Advance Auto Parts,미국,NA,https://shop.advanceautoparts.com,https://shop.advanceautoparts.com/c/batteries,,DieHard|다브랜드,미확인,DieHard 보유
banner_at,Banner GmbH,오스트리아,EU,https://www.bannerbatterien.com,https://www.bannerbatterien.com/en/products,,Banner,미확인,제조사 겸 유통
accusudest,Accumulateurs du Sud-Est,프랑스,EU,,,,다브랜드,미확인,프랑스 지역 유통 — 사이트 확인 필요
natsis,Natsis Apostolos,그리스,EU,,,,다브랜드,미확인,그리스 유통 — 사이트 확인 필요
kannas,Andreas I Kannas & Sons,키프로스,EU,,,,다브랜드,미확인,키프로스 유통 — 사이트 확인 필요
batteryzone_au,Battery Zone,호주,OCE,https://batteryzone.com.au,https://batteryzone.com.au/lion-batteries/,,Lion|다브랜드,검색확인,호주 온라인 판매
mdsbattery,MDS Battery,영국,EU,https://www.mdsbattery.co.uk,https://www.mdsbattery.co.uk/car-batteries,,다브랜드,검색확인,규격 해설 자료가 좋다
batterybrands_au,Battery Brands Warehouse,호주,OCE,https://batterybrands.com.au,https://batterybrands.com.au/collections/century,,Century|AC Delco|다브랜드,검색확인,브랜드별 컬렉션 URL
supercharge_au,SuperCharge Batteries,호주,OCE,https://www.supercharge.com.au,https://www.supercharge.com.au,,SuperCharge,검색확인,158쪽 피트먼트 가이드 보유
azb,AZB Group (Abdul Zahir Bashir),UAE,MEA,https://azb.ae,https://azb.ae/automotive/car-battery,https://azb.ae/automotive/car-battery/{brand}/,Delkor|Global|SBK|3K|Platinum,검색확인,두바이 마스터 디스트리뷰터 — MENA 전역. 브랜드별 URL 규칙적
giaphat,Gia Phat (VN),베트남,SEA,http://giaphatvn.com,http://giaphatvn.com/en/about-us,,VARTA|GS|Delkor|Bosch|Vision,검색확인,"한국·태국산 조달, 5개 브랜드 병행"
gsyuasa_eu,GS Yuasa Battery Europe (YBS),영국·독일·프랑스·스페인·스웨덴,EU,https://www.yuasaeurope.com,https://www.gs-yuasa.eu/uk/distributor-locator,,Yuasa|GS Yuasa,검색확인,유럽 판매법인 — YBS/YBEU/YBF/YBIB/YBIT 가 이 조직
advbatt,Advanced Battery Supplies,영국,EU,https://advancedbatterysupplies.co.uk,https://advancedbatterysupplies.co.uk/trade-sales/,,다브랜드,검색확인,영국 온라인 도매 50년
aceon,AceOn Group,영국,EU,https://www.aceongroup.com,https://www.aceongroup.com/battery-distribution/,,다브랜드,검색확인,영국 배터리 유통
envirobatt,enviroBATT,영국,EU,https://www.envirobatt.co.uk,https://www.envirobatt.co.uk,,다브랜드,검색확인,영국 유통
emerald_lk,Emerald International (Pvt) Ltd,스리랑카,IN,,,,다브랜드,미확인,스리랑카 수입상 — 사이트 확인 필요
bosch_dist,Robert Bosch 현지법인망,다국,ETC,https://www.boschaftermarket.com,,https://{cc}.boschaftermarket.com/{cc}/en/parts/batteries/,Bosch,검색확인,아프리카·중남미·동남아 25개국 이상에서 배터리 유통 — 국가별 포털
aag_uk,Alliance Automotive Group UK & IE,영국·아일랜드,EU,https://allianceautomotive.co.uk,https://allianceautomotive.co.uk/ourhistory/,,NAPA|Platinum|Tayna|다브랜드,검색확인,NAPA UK·Tayna(2023 인수)·Platinum Batteries(2018 인수)·FPS 를 한 그룹이 굴린다 — 영국 배터리 채널의 관문
cyb_nz,Century Yuasa Batteries (NZ),뉴질랜드,OCE,https://www.cyb.co.nz,https://www.cyb.co.nz/divisions/automotive,,Century|Yuasa|Katana|Optima|Enersun|Intelepower|Poweroad,검색확인,뉴질랜드 최대 유통 — 호주 CYB 계열. 남태평양 재수출
roussakis,G.J. Roussakis SA,그리스,EU,https://www.roussakis.eu,https://www.roussakis.eu/en/manufacturers,https://www.roussakis.eu/en/manufacturers/{brand},ACDelco|Yuasa|GS|Suntech|Trojan|CTEK,검색확인,아테네 코로피 38년 — 브랜드별 URL 규칙적. Trojan 마스터 디스트리뷰터(2011~)
sakkos,Sakkos Automotive,그리스,EU,https://www.sakkos-automotive.gr,https://www.sakkos-automotive.gr/en/,,자체 생산 + 다브랜드,검색확인,그리스 — 생산과 유통을 같이 한다
accuservice,Accu-Service NV,벨기에,EU,https://www.accu-service.be,,,다브랜드,검색확인,1957년 루셀라레 — 벨기에 최대 독립 스타터배터리 수입상. 재고 3만개
naseem,Naseem Al Faihaa General Trading,이라크,MEA,,,,일본·한국·인도네시아·태국·대만산 다브랜드,검색확인,1959년 설립. 바그다드·바스라·카르발라·에르빌 + 두바이 사무소
khalife,Khalife for Oil & Lubricants,레바논,MEA,https://khalifeforoil.com,,,Trophy|다브랜드,검색확인,1981년 가지에 — 오일·배터리·타이어·필터. Trophy 배터리를 민다
novapower,Nova Power Tech Pvt Ltd,인도,IN,,,,Amaron|Mantra,검색확인,하이데라바드 2009년 — Amaron 유통 + 계열 브랜드 Mantra 직접 판매
axion_aw,Axion Auto Parts,아루바,LAT,,,,AC Delco|Atlas,검색확인,아루바 — 카리브 소형 시장 배터리 채널
asianbatt_np,Asian Batteries,네팔,IN,https://asianbatteries.com.np,https://asianbatteries.com.np/best-car-battery-in-nepal/,,Asian|Exide|Livguard|다브랜드,검색확인,카트만두 2012년 — 한국·중국·일본·인도 조달
sebang_eu,Sebang Batteries Europe,독일,EU,https://www.sebang-europe.com,https://www.sebang-europe.com/products/all-batteries,,Rocket|Global,검색확인,자사 유럽 판매법인 — ROCKET·GLOBAL 카탈로그 2025 배포
sebang_na,Sebang Global Battery North America,미국,NA,https://www.gbatteryusa.com,https://www.gbatteryusa.com/products/,,Rocket|Global,검색확인,자사 북미 법인
sebang_my,Sebang Global Battery Malaysia,말레이시아,SEA,https://sebangglobal.my,https://sebangglobal.my/products/,,Rocket,검색확인,자사 말레이시아 채널
rocket_ae,Rocket Batteries UAE,UAE,MEA,https://rocketbatteries.ae,https://rocketbatteries.ae/about-us/,,Rocket,검색확인,자사 브랜드 중동 유통
rocket_kh,Rocket Battery Cambodia,캄보디아,SEA,,,,Rocket,검색확인,프놈펜 — 자사 브랜드 캄보디아 채널
